Event_ID,Region,Region_source,Burst_Duration_in_min,Burst_Loading,Original_Burst_Depth_in_mm,AEP_Window,AEP_source_in_perc,Burst_Start_Date,Burst_End_Date,DB_Event_Reference_Number,DB_Pluviograph_Reference_Number,Offical_Gauge,Lat,Long
4448,East Coast (South),East Coast (South),20,1,26.5,frequent,14.8119,1995-02-28 19:05:00,1995-02-28 19:20:00,116813,1882,qcd_567085_233,-33.608,150.7671
4449,East Coast (South),East Coast (South),20,2,30.5,frequent,14.4241,1998-04-10 11:50:00,1998-04-10 12:05:00,115990,1864,qcd_566085_233,-33.7629,151.1945
4450,East Coast (South),East Coast (South),20,2,23.35,frequent,14.4269,2005-02-20 13:50:00,2005-02-20 14:05:00,120704,1947,qcd_568165_231,-34.5369,150.3825
4451,East Coast (South),East Coast (South),20,2,24.0,frequent,14.4721,1988-11-26 13:15:00,1988-11-26 13:30:00,119753,1933,qcd_568130_233,-34.059,150.6809
4452,East Coast (South),East Coast (South),20,2,26.04,frequent,14.5324,1980-01-02 16:45:00,1980-01-02 17:00:00,35394,468,qcd_057091,-30.7167,151.8531
4453,East Coast (South),East Coast (South),20,2,31.0,frequent,14.5361,1987-01-04 16:05:00,1987-01-04 16:20:00,114620,1845,qcd_566032_233,-33.887,151.2253
4454,East Coast (South),East Coast (South),20,3,23.0,frequent,14.9591,1995-12-05 11:20:00,1995-12-05 11:35:00,113762,1831,qcd_563073_231,-33.6139,150.1561
4455,East Coast (South),East Coast (South),20,3,30.5,frequent,15.4448,2002-09-01 07:35:00,2002-09-01 07:50:00,134697,2148,qcd_avalon_58,-33.6408,151.3288
4383,East Coast (South),East Coast (South),20,1,30.0,intermediate,10.1606,1999-12-28 17:05:00,1999-12-28 17:20:00,39777,517,qcd_061250,-32.6296,151.5919
4434,East Coast (South),East Coast (South),20,1,38.5,intermediate,4.6924,2006-12-29 16:25:00,2006-12-29 16:40:00,115409,1854,qcd_566053_233,-33.6672,151.1047
4435,East Coast (South),East Coast (South),20,1,36.0,intermediate,14.0922,2005-11-30 15:25:00,2005-11-30 15:40:00,61631,973,qcd_205006_77,-30.6405,152.856
4436,East Coast (South),East Coast (South),20,2,24.21,intermediate,11.6266,1965-10-27 22:55:00,1965-10-27 23:10:00,39083,507,qcd_061171,-32.5167,150.9667
4437,East Coast (South),East Coast (South),20,2,28.54,intermediate,13.6735,1981-02-10 18:05:00,1981-02-10 18:20:00,38426,501,qcd_061029,-33.2333,151.2
4438,East Coast (South),East Coast (South),20,2,24.5,intermediate,11.8839,1985-03-19 14:55:00,1985-03-19 15:10:00,113402,1824,qcd_563056_231,-34.0333,150.2153
4439,East Coast (South),East Coast (South),20,2,30.57,intermediate,3.5787,1991-02-15 20:30:00,1991-02-15 20:45:00,40995,532,qcd_063039,-33.7122,150.3087
4440,East Coast (South),East Coast (South),20,2,38.48,intermediate,5.7957,1992-02-06 14:15:00,1992-02-06 14:30:00,37170,489,qcd_059000,-30.8141,152.5129
4441,East Coast (South),East Coast (South),20,3,27.0,intermediate,9.7177,1986-08-05 16:50:00,1986-08-05 17:05:00,116588,1877,qcd_567077_233,-33.8807,150.9504
4444,East Coast (South),East Coast (South),20,3,37.89,intermediate,10.2978,1979-11-20 20:05:00,1979-11-20 20:20:00,36292,478,qcd_058072,-28.6533,153.4542
4359,East Coast (South),East Coast (South),20,3,41.59,rare,0.3541,2007-02-19 15:40:00,2007-02-19 15:55:00,120662,1946,qcd_568163_231,-34.4261,150.1903
4367,East Coast (South),East Coast (South),20,2,45.0,rare,1.1259,2004-12-24 13:35:00,2004-12-24 13:50:00,39314,512,qcd_061211,-33.3588,150.7058
4371,East Coast (South),East Coast (South),20,1,47.2,rare,2.3539,2008-12-10 15:50:00,2008-12-10 16:05:00,38062,497,qcd_060085,-31.3865,152.2482
4399,East Coast (South),East Coast (South),20,2,34.37,rare,1.5391,2007-01-17 14:35:00,2007-01-17 14:50:00,120661,1946,qcd_568163_231,-34.4261,150.1903
4404,East Coast (South),East Coast (South),20,2,163.0,rare,0.0002,1996-11-23 20:30:00,1996-11-23 20:45:00,138481,2233,qcd_northbonvil_58,-30.3638,153.0055
4427,East Coast (South),East Coast (South),20,2,37.19,rare,2.2892,1998-12-09 18:30:00,1998-12-09 18:45:00,111571,1801,qcd_561104_231,-32.9777,150.5829
4428,East Coast (South),East Coast (South),20,2,36.66,rare,1.6471,1969-03-31 18:15:00,1969-03-31 18:30:00,42746,553,qcd_067035,-33.9272,150.9128
4429,East Coast (South),East Coast (South),20,2,65.43,rare,0.1171,1984-11-08 22:00:00,1984-11-08 22:15:00,42099,543,qcd_066062,-33.8607,151.205
4432,East Coast (South),East Coast (South),20,3,26.18,rare,1.8368,2006-01-16 10:45:00,2006-01-16 11:00:00,123044,1983,qcd_570350_231,-34.7506,149.6953
4433,East Coast (South),East Coast (South),20,2,38.5,rare,3.1017,1984-02-21 16:45:00,1984-02-21 17:00:00,116430,1876,qcd_567076_233,-33.7111,150.9842
4480,East Coast (South),East Coast (South),25,1,35.11,frequent,14.5614,1996-02-05 15:50:00,1996-02-05 16:10:00,38503,502,qcd_061078,-32.7932,151.8359
4481,East Coast (South),East Coast (South),25,1,27.19,frequent,15.2218,2001-02-14 15:55:00,2001-02-14 16:15:00,111682,1803,qcd_561107_231,-33.0288,150.8741
4483,East Coast (South),East Coast (South),25,1,20.44,frequent,15.2572,2006-01-27 15:30:00,2006-01-27 15:50:00,112994,1819,qcd_563050_231,-34.0839,149.9172
4485,East Coast (South),East Coast (South),25,2,27.0,frequent,14.4835,2003-12-03 18:15:00,2003-12-03 18:35:00,116642,1878,qcd_567078_233,-33.9827,150.9071
4486,East Coast (South),East Coast (South),25,2,26.5,frequent,14.4994,2008-10-11 15:20:00,2008-10-11 15:40:00,120349,1941,qcd_568149_233,-34.0292,150.6575
4487,East Coast (South),East Coast (South),25,2,28.0,frequent,14.6604,2002-03-29 15:50:00,2002-03-29 16:10:00,114188,1838,qcd_563082_231,-33.3766,150.6072
4488,East Coast (South),East Coast (South),25,2,31.18,frequent,14.7181,1970-12-15 15:10:00,1970-12-15 15:30:00,35384,466,qcd_057033,-30.5112,152.0427
4489,East Coast (South),East Coast (South),25,2,29.0,frequent,14.7598,1993-02-17 09:40:00,1993-02-17 10:00:00,116727,1880,qcd_567083_233,-33.8192,150.9127
4490,East Coast (South),East Coast (South),25,3,34.76,frequent,15.0494,1990-02-02 12:15:00,1990-02-02 12:35:00,39524,514,qcd_061223,-32.9131,151.75
4494,East Coast (South),East Coast (South),25,3,26.5,frequent,15.4218,1987-10-24 13:45:00,1987-10-24 14:05:00,120511,1943,qcd_568156_233,-34.0482,150.73
4447,East Coast (South),East Coast (South),25,1,37.17,intermediate,13.0798,1978-03-19 22:40:00,1978-03-19 23:00:00,38101,497,qcd_060085,-31.3865,152.2482
4468,East Coast (South),East Coast (South),25,1,40.4,intermediate,10.2032,2006-01-19 11:55:00,2006-01-19 12:15:00,36868,486,qcd_058131,-28.8521,153.4556
4470,East Coast (South),East Coast (South),25,1,36.0,intermediate,8.1516,2002-11-29 15:45:00,2002-11-29 16:05:00,116009,1865,qcd_566087_233,-33.8226,151.1294
4471,East Coast (South),East Coast (South),25,2,32.5,intermediate,10.877,1995-03-02 22:30:00,1995-03-02 22:50:00,117427,1893,qcd_567147_233,-33.7437,150.9924
4472,East Coast (South),East Coast (South),25,2,41.8,intermediate,8.5722,2010-06-03 06:00:00,2010-06-03 06:20:00,36857,486,qcd_058131,-28.8521,153.4556
4473,East Coast (South),East Coast (South),25,2,40.5,intermediate,3.5613,2010-02-05 18:55:00,2010-02-05 19:15:00,117648,1898,qcd_567163_233,-33.7745,150.6716
4474,East Coast (South),East Coast (South),25,2,38.82,intermediate,12.3554,1989-01-23 12:05:00,1989-01-23 12:25:00,36849,486,qcd_058131,-28.8521,153.4556
4476,East Coast (South),East Coast (South),25,2,30.59,intermediate,8.532,1969-03-28 18:25:00,1969-03-28 18:45:00,39004,506,qcd_061158,-32.5067,151.3779
4477,East Coast (South),East Coast (South),25,3,27.09,intermediate,9.0362,1988-01-21 16:45:00,1988-01-21 17:05:00,39436,513,qcd_061212,-32.3767,150.96
4479,East Coast (South),East Coast (South),25,3,33.0,intermediate,10.7451,2005-10-31 17:25:00,2005-10-31 17:45:00,114229,1839,qcd_563146_233,-33.6767,150.625
4394,East Coast (South),East Coast (South),25,2,52.5,rare,0.4819,1989-12-05 03:30:00,1989-12-05 03:50:00,114882,1847,qcd_566037_233,-33.8085,151.0907
4456,East Coast (South),East Coast (South),25,1,40.0,rare,2.5109,1993-01-18 14:55:00,1993-01-18 15:15:00,111557,1801,qcd_561104_231,-32.9777,150.5829
4458,East Coast (South),East Coast (South),25,1,44.5,rare,1.5041,1991-01-21 14:10:00,1991-01-21 14:30:00,120099,1938,qcd_568140_231,-34.1467,150.4244
4459,East Coast (South),East Coast (South),25,1,38.25,rare,1.0637,1996-12-28 13:50:00,1996-12-28 14:10:00,112555,1814,qcd_563043_231,-33.9844,150.1167
4460,East Coast (South),East Coast (South),25,2,53.48,rare,2.5174,1966-01-17 16:00:00,1966-01-17 16:20:00,37715,494,qcd_060030,-31.9033,152.4496
4461,East Coast (South),East Coast (South),25,2,53.5,rare,2.9389,2000-11-05 16:50:00,2000-11-05 17:10:00,60996,958,qcd_201001_77,-28.3537,153.2931
4462,East Coast (South),East Coast (South),25,2,132.62,rare,0.0,1991-01-23 20:55:00,1991-01-23 21:15:00,121513,1964,qcd_568296_77,-34.1437,150.6467
4464,East Coast (South),East Coast (South),25,2,81.5,rare,0.4897,2009-03-31 13:05:00,2009-03-31 13:25:00,137954,2223,qcd_middleboamb_58,-30.3262,153.048
4466,East Coast (South),East Coast (South),25,3,50.2,rare,1.2393,2003-12-14 14:10:00,2003-12-14 14:30:00,35700,470,qcd_057103,-30.0093,152.0101
4467,East Coast (South),East Coast (South),25,3,48.5,rare,1.3513,2005-11-22 19:10:00,2005-11-22 19:30:00,117645,1898,qcd_567163_233,-33.7745,150.6716
4484,East Coast (South),East Coast (South),30,1,22.14,frequent,14.4733,2006-01-27 15:30:00,2006-01-27 15:55:00,112994,1819,qcd_563050_231,-34.0839,149.9172
4516,East Coast (South),East Coast (South),30,1,40.5,frequent,14.486,1991-03-12 23:35:00,1991-03-13 00:00:00,36875,486,qcd_058131,-28.8521,153.4556
4517,East Coast (South),East Coast (South),30,1,34.5,frequent,14.9489,2010-02-07 00:30:00,2010-02-07 00:55:00,115418,1854,qcd_566053_233,-33.6672,151.1047
4518,East Coast (South),East Coast (South),30,2,25.67,frequent,14.4634,2007-04-04 14:45:00,2007-04-04 15:10:00,112379,1812,qcd_563041_231,-33.7686,150.1236
4519,East Coast (South),East Coast (South),30,2,32.8,frequent,14.4655,2001-01-28 12:55:00,2001-01-28 13:20:00,61448,968,qcd_204030_77,-30.2587,152.0094
4520,East Coast (South),East Coast (South),30,2,30.79,frequent,14.5328,1992-02-12 16:40:00,1992-02-12 17:05:00,62836,1000,qcd_213005_77,-33.7982,150.9825
4521,East Coast (South),East Coast (South),30,2,34.0,frequent,14.5714,1983-03-21 16:20:00,1983-03-21 16:45:00,114290,1840,qcd_566018_233,-34.0308,151.1643
4522,East Coast (South),East Coast (South),30,2,40.18,frequent,14.6131,1986-12-15 13:55:00,1986-12-15 14:20:00,36552,482,qcd_058109,-28.3672,153.1689
4523,East Coast (South),East Coast (South),30,3,36.75,frequent,16.1324,1984-04-07 23:50:00,1984-04-08 00:15:00,118046,1905,qcd_568048_231,-34.265,150.8058
4524,East Coast (South),East Coast (South),30,3,35.5,frequent,16.2546,2009-05-02 19:40:00,2009-05-02 20:05:00,116302,1872,qcd_566099_233,-33.9119,151.2273
4506,East Coast (South),East Coast (South),30,1,32.75,intermediate,4.8824,1990-12-29 18:30:00,1990-12-29 18:55:00,111929,1807,qcd_562102_231,-32.991,150.1346
4507,East Coast (South),East Coast (South),30,1,50.6,intermediate,4.6224,2007-12-03 14:30:00,2007-12-03 14:55:00,40385,524,qcd_061390,-32.8905,151.707
4508,East Coast (South),East Coast (South),30,1,56.75,intermediate,7.4552,2005-10-31 12:30:00,2005-10-31 12:55:00,140323,2265,qcd_southboambe_58,-30.3417,153.0512
4509,East Coast (South),East Coast (South),30,2,41.5,intermediate,6.1808,1988-01-08 18:50:00,1988-01-08 19:15:00,119577,1929,qcd_568102_231,-34.5522,150.6317
4510,East Coast (South),East Coast (South),30,2,35.5,intermediate,8.2296,1970-12-01 16:15:00,1970-12-01 16:40:00,12654,508,qcd_061174,-32.9,151.2667
4511,East Coast (South),East Coast (South),30,2,43.0,intermediate,3.3107,1996-03-04 12:20:00,1996-03-04 12:45:00,120910,1951,qcd_568170_233,-33.3472,150.8578
4512,East Coast (South),East Coast (South),30,2,41.0,intermediate,7.2535,2005-01-22 17:25:00,2005-01-22 17:50:00,61580,971,qcd_204900_77,-29.1965,152.5931
4513,East Coast (South),East Coast (South),30,2,31.5,intermediate,6.3627,2003-03-10 10:05:00,2003-03-10 10:30:00,113655,1828,qcd_563064_233,-32.2375,150.6306
4514,East Coast (South),East Coast (South),30,3,27.79,intermediate,10.9771,1990-02-23 11:10:00,1990-02-23 11:35:00,40516,526,qcd_062020,-32.5014,150.0333
4515,East Coast (South),East Coast (South),30,3,31.47,intermediate,6.0188,1967-01-01 17:20:00,1967-01-01 17:45:00,40505,526,qcd_062020,-32.5014,150.0333
4402,East Coast (South),East Coast (South),30,2,45.75,rare,2.0727,1988-11-27 10:45:00,1988-11-27 11:10:00,112004,1808,qcd_563035_231,-33.9758,150.3811
4457,East Coast (South),East Coast (South),30,1,47.5,rare,1.433,1993-01-18 14:55:00,1993-01-18 15:20:00,111557,1801,qcd_561104_231,-32.9777,150.5829
4495,East Coast (South),East Coast (South),30,1,60.43,rare,2.4031,2008-01-31 15:30:00,2008-01-31 15:55:00,118546,1913,qcd_568061_231,-34.4056,150.7097
4497,East Coast (South),East Coast (South),30,1,65.25,rare,1.7251,1994-05-03 06:10:00,1994-05-03 06:35:00,138064,2226,qcd_mountelliot_58,-33.405,151.3933
4498,East Coast (South),East Coast (South),30,2,44.53,rare,3.1062,1963-12-13 03:25:00,1963-12-13 03:50:00,41915,542,qcd_066037,-33.9465,151.1731
4500,East Coast (South),East Coast (South),30,2,62.25,rare,0.1852,2007-02-11 04:20:00,2007-02-11 04:45:00,120109,1938,qcd_568140_231,-34.1467,150.4244
4502,East Coast (South),East Coast (South),30,2,56.25,rare,2.1328,1997-03-23 17:30:00,1997-03-23 17:55:00,118929,1919,qcd_568072_231,-34.1786,150.8317
4503,East Coast (South),East Coast (South),30,2,44.98,rare,1.2839,2004-01-23 15:20:00,2004-01-23 15:45:00,119452,1927,qcd_568094_231,-34.3778,150.3156
4504,East Coast (South),East Coast (South),30,3,54.0,rare,2.1685,2003-10-25 15:30:00,2003-10-25 15:55:00,117264,1889,qcd_567109_233,-33.6202,151.149
4505,East Coast (South),East Coast (South),30,3,50.0,rare,1.0156,1990-02-10 13:50:00,1990-02-10 14:15:00,120350,1941,qcd_568149_233,-34.0292,150.6575
4545,East Coast (South),East Coast (South),45,1,34.5,frequent,14.5408,1994-03-07 03:40:00,1994-03-07 04:20:00,120916,1951,qcd_568170_233,-33.3472,150.8578
4546,East Coast (South),East Coast (South),45,1,59.1,frequent,14.5668,1992-02-11 23:20:00,1992-02-12 00:00:00,37491,492,qcd_059040,-30.3107,153.1187
4547,East Coast (South),East Coast (South),45,1,28.59,frequent,14.8476,1985-12-16 16:10:00,1985-12-16 16:50:00,38659,503,qcd_061089,-32.0632,150.9272
4548,East Coast (South),East Coast (South),45,2,36.5,frequent,14.4248,2006-02-26 20:10:00,2006-02-26 20:50:00,117702,1899,qcd_567165_233,-33.6692,150.9206
4549,East Coast (South),East Coast (South),45,2,35.8,frequent,14.5019,2003-03-09 14:25:00,2003-03-09 15:05:00,42841,554,qcd_067113,-33.7195,150.6783
4550,East Coast (South),East Coast (South),45,2,35.25,frequent,14.5576,1988-02-07 14:20:00,1988-02-07 15:00:00,113741,1829,qcd_563070_231,-33.7,150.4847
4551,East Coast (South),East Coast (South),45,2,37.75,frequent,14.5836,1998-05-19 01:05:00,1998-05-19 01:45:00,117318,1890,qcd_567110_231,-33.5574,151.0179
4552,East Coast (South),East Coast (South),45,2,33.06,frequent,14.6479,1974-04-25 12:50:00,1974-04-25 13:30:00,42747,553,qcd_067035,-33.9272,150.9128
4553,East Coast (South),East Coast (South),45,3,39.53,frequent,14.494,1993-02-17 08:50:00,1993-02-17 09:30:00,41910,542,qcd_066037,-33.9465,151.1731
4554,East Coast (South),East Coast (South),45,3,47.25,frequent,16.5246,1984-02-18 08:30:00,1984-02-18 09:10:00,119543,1928,qcd_568097_231,-34.37,150.8197
